datetime [AKST],HO [molec cm^-3],HO2 [molec cm^-3],H2O2 [molec cm^-3],O3 [molec cm^-3],NO2 [molec cm^-3],NO [molec cm^-3],HONO [molec cm^-3],NO3 [molec cm^-3]
03-Feb-2022 13:35:00,296841.410709998,642483.287152566,48686967.5588963,210705534652.735,886609487686.019,848388630416.077,24632343365.0431,56094.3599698334
03-Feb-2022 13:40:00,300560.021024578,649412.669181538,48707269.6109911,213600802945.112,883437254592.489,848752345942.143,24542194410.8479,56651.0720707392
03-Feb-2022 13:45:00,304212.355861914,656236.053262239,48816522.1438431,216620315579.584,880184921293.626,848822295608.248,24440387815.9599,57245.9164666033
03-Feb-2022 13:50:00,310612.291428593,668321.18501437,49204487.592462,217812384386.726,879159790522.791,852764091654.103,24502509265.0132,58146.9725561752
03-Feb-2022 13:55:00,316727.457563054,677582.57063458,49995872.6668837,217059896670.531,880501208809.351,865875824109.406,24676096646.2952,58112.869987817
03-Feb-2022 14:00:00,322792.688621969,684780.352170469,51093705.0138901,214747278407.99,883763991736.847,886537937695.864,24962306432.7706,57336.0337199943
03-Feb-2022 14:05:00,314649.165941531,664198.138513688,52175394.5125028,209194260725.469,890152839593.401,907279743664.397,25149367934.2632,55041.0636269134
03-Feb-2022 14:10:00,306990.56903457,645871.422467633,52888534.6435181,203329016407.664,896481515586.041,921145959136.946,25338505938.4187,53115.571046283
03-Feb-2022 14:15:00,299635.038271874,628927.803687595,53313977.4429353,198248002434.978,901766401847.587,930802435306.775,25491691003.428,51584.2086525436
03-Feb-2022 14:20:00,294239.294589261,620157.702585664,53516108.3172216,197420462152.199,901650615707.099,922801422998.084,25299803888.5402,51785.0979818563
03-Feb-2022 14:25:00,289000.589696408,617930.139394627,53260941.9237823,202114572013.775,894255682194.517,888110188651.847,24671152700.5868,54504.5453741395
03-Feb-2022 14:30:00,284105.266393439,620271.87542789,52464165.0664804,210348953172.466,882288507101.624,838302323810.458,23820283100.548,59074.1446357631
03-Feb-2022 14:35:00,277482.301346973,617007.620949591,51593725.038738,216507170279.052,872954672093.545,796904122574.259,23168249498.518,63071.9564114237
03-Feb-2022 14:40:00,270733.39427139,609078.903640784,51028683.319235,218811527237.181,868606090044.074,771920841936.487,22787733464.6478,65338.7503222864
03-Feb-2022 14:45:00,263782.972982613,598304.571913481,50722189.981566,219122468957.135,866879535564.771,755788159151.422,22531533198.3075,66603.8582990402
03-Feb-2022 14:50:00,258715.01654097,596969.081779268,50086355.8997514,214814425091.104,867215749047.162,730189598414.393,22838393295.802,70055.3106995586
03-Feb-2022 14:55:00,255796.245730135,603994.96024488,48794393.1818095,212424635287.427,864478016107.669,692648352800.245,23271905231.8883,75335.1217210436
03-Feb-2022 15:00:00,252404.401856114,613872.793276177,47112484.8396476,212242667688.932,858762839113.873,648400950754.585,23568871381.1969,82565.3569153238
